label,cap-shape,cap-surface,cap-color,bruises,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,f,y,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,y,p
e,x,y,r,f,f,c,n,p,e,?,s,f,w,w,p,w,o,f,h,y,d
e,f,y,w,f,f,c,n,h,e,?,s,f,w,w,p,w,o,f,h,v,d
p,x,f,y,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,d
p,f,y,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,y,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,g
p,x,y,e,f,f,c,n,b,t,?,k,k,p,w,p,w,o,e,w,v,l
p,x,y,g,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,d
p,x,y,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,d
p,x,y,g,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
p,x,y,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
p,f,f,y,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,y,p
e,f,s,e,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,f,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,y,y,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
p,f,s,g,t,f,c,b,p,t,b,f,s,w,w,p,w,o,p,h,s,g
p,x,f,y,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,y,p
p,f,y,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,g
p,f,f,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,v,g
p,x,s,w,f,f,c,n,n,e,b,s,s,w,w,p,w,o,p,k,v,d
e,f,y,e,t,f,c,b,u,t,b,s,s,p,w,p,w,o,p,n,y,d
p,x,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,g
p,x,y,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,p
e,k,s,b,t,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,f,y,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,f,y,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,v,d
p,x,y,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,y,g
e,x,f,n,f,f,w,n,w,e,b,s,f,w,n,p,w,o,e,w,v,l
e,x,y,e,t,f,c,b,e,e,?,s,s,e,e,p,w,t,e,w,c,w
p,x,y,g,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,p
p,x,f,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,g
p,f,s,g,t,f,c,b,h,t,b,f,f,w,w,p,w,o,p,h,v,g
p,x,y,y,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,y,g
p,f,y,g,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,p
p,x,y,g,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,g
p,x,y,n,f,f,c,n,b,t,?,s,k,w,w,p,w,o,e,w,v,p
e,k,s,b,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,f,f,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,f,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,p
p,f,y,g,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,d
p,f,y,y,f,f,c,b,h,e,b,k,k,n,n,p,w,o,l,h,v,g
p,f,y,n,f,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
p,x,y,g,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,d
p,x,f,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,d
p,x,y,g,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,p
p,f,s,b,t,f,c,b,w,t,b,f,f,w,w,p,w,o,p,h,v,u
p,f,y,g,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,p
p,f,y,y,f,f,c,b,g,e,b,k,k,n,b,p,w,o,l,h,y,g
p,f,f,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,v,d
p,f,f,g,f,f,c,b,g,e,b,k,k,p,p,p,w,o,l,h,y,p
p,x,y,g,f,f,c,b,h,e,b,k,k,p,n,p,w,o,l,h,y,d
p,f,f,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,y,g
e,x,s,p,t,f,c,b,w,e,?,s,s,e,e,p,w,t,e,w,c,w
e,k,s,n,t,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,y,p,t,f,c,b,g,e,b,s,s,w,w,p,w,t,p,r,v,g
p,f,y,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,v,p
p,x,y,y,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,p
p,f,f,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,p,e,b,k,k,p,p,p,w,o,l,h,y,d
p,f,y,g,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d
p,f,y,y,f,f,c,b,h,e,b,k,k,b,b,p,w,o,l,h,v,d
p,f,f,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,g
p,f,y,y,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,y,g
p,x,y,y,f,f,c,b,p,e,b,k,k,p,b,p,w,o,l,h,v,d
p,x,y,y,f,f,c,b,h,e,b,k,k,b,n,p,w,o,l,h,y,p
p,f,y,g,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,g
p,f,f,g,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,d
p,x,y,y,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,v,p
p,x,y,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,y,p
e,f,y,u,f,f,c,n,w,e,?,s,f,w,w,p,w,o,f,h,y,d
p,f,f,g,f,f,c,b,g,e,b,k,k,b,b,p,w,o,l,h,v,g
p,x,y,y,f,f,c,b,p,e,b,k,k,p,n,p,w,o,l,h,v,g
p,x,y,y,f,f,c,b,p,e,b,k,k,n,n,p,w,o,l,h,y,p
p,x,f,y,f,f,c,b,p,e,b,k,k,n,p,p,w,o,l,h,y,d
p,x,y,g,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,p
e,f,s,b,t,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w
p,f,f,g,f,f,c,b,h,e,b,k,k,p,p,p,w,o,l,h,y,p
p,f,y,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,v,d
e,x,s,n,t,f,c,b,w,e,?,s,s,w,e,p,w,t,e,w,c,w
p,f,f,g,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,y,p
p,x,y,g,f,f,c,b,g,e,b,k,k,p,b,p,w,o,l,h,v,d
p,x,y,n,f,f,c,n,b,t,?,k,k,p,p,p,w,o,e,w,v,p
p,f,f,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,d
p,x,y,n,f,f,c,n,w,e,?,k,y,w,n,p,w,o,e,w,v,d
p,b,s,b,t,f,c,b,w,e,b,s,s,w,w,p,w,t,p,r,v,g
p,f,f,y,f,f,c,b,p,e,b,k,k,n,b,p,w,o,l,h,v,d
e,f,y,u,f,f,c,n,u,e,?,s,f,w,w,p,w,o,f,h,y,d
p,x,f,y,f,f,c,b,g,e,b,k,k,n,n,p,w,o,l,h,v,g
p,f,y,y,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,g
p,f,f,y,f,f,c,b,h,e,b,k,k,n,p,p,w,o,l,h,y,g
e,x,y,e,t,f,c,b,w,e,?,s,s,e,w,p,w,t,e,w,c,w
p,x,y,y,f,f,c,b,g,e,b,k,k,b,n,p,w,o,l,h,v,g
p,x,y,y,f,f,c,b,p,e,b,k,k,b,b,p,w,o,l,h,v,p
